Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N)
16.795000076293945,0.13815826177597046,-13.078638076782227,0.23071198165416718,-2.6982040405273438
16.799999237060547,0.13655807077884674,-12.946502685546875,0.22852307558059692,-2.6734538078308105
16.80500030517578,0.13495786488056183,-12.805116653442383,0.22881171107292175,-2.6476690769195557
16.809999465942383,0.13192182779312134,-12.656210899353027,0.22790934145450592,-2.620262622833252
16.815000534057617,0.12651196122169495,-12.50110912322998,0.22606150805950165,-2.591606855392456
16.81999969482422,0.11925868690013885,-12.345904350280762,0.22502966225147247,-2.5631656646728516
16.825000762939453,0.1129535436630249,-12.19056510925293,0.2247789204120636,-2.5336971282958984
16.829999923706055,0.11012091487646103,-12.029359817504883,0.2247789204120636,-2.5042290687561035
16.834999084472656,0.10765592753887177,-11.86125373840332,0.22170311212539673,-2.4747607707977295
16.84000015258789,0.10420023649930954,-11.689701080322266,0.21861718595027924,-2.444470167160034
16.844999313354492,0.10044657438993454,-11.51907730102539,0.2158709466457367,-2.4131598472595215
16.850000381469727,0.0967295914888382,-11.349997520446777,0.2118959277868271,-2.3801980018615723
16.854999542236328,0.09270833432674408,-11.182598114013672,0.2086956948041916,-2.346859931945801
16.860000610351562,0.08845192939043045,-11.011247634887695,0.2074001133441925,-2.3138904571533203
16.864999771118164,0.0852593183517456,-10.831587791442871,0.2063099592924118,-2.2788968086242676
16.8700008392334,0.08232320845127106,-10.649807929992676,0.20095230638980865,-2.243903160095215
16.875,0.08019315451383591,-10.467206954956055,0.19268418848514557,-2.208909273147583
16.8799991607666,0.07912634313106537,-10.282177925109863,0.18707701563835144,-2.1730785369873047
16.885000228881836,0.07673664391040802,-10.094722747802734,0.18388104438781738,-2.1370818614959717
16.889999389648438,0.07326590269804001,-9.907772064208984,0.17830604314804077,-2.1012473106384277
16.895000457763672,0.06823450326919556,-9.721943855285645,0.17188507318496704,-2.0652544498443604
16.899999618530273,0.0639009028673172,-9.532651901245117,0.1673315167427063,-2.0302608013153076
16.905000686645508,0.06255925446748734,-9.341897964477539,0.16230520606040955,-1.9952671527862549
16.90999984741211,0.061749499291181564,-9.154623985290527,0.1564188450574875,-1.9602735042572021
16.915000915527344,0.05993836745619774,-8.967519760131836,0.15159620344638824,-1.9252798557281494
16.920000076293945,0.05699199438095093,-8.77893352508545,0.14707520604133606,-1.8902862071990967
16.924999237060547,0.055587656795978546,-8.594270706176758,0.1415172964334488,-1.8561465740203857
16.93000030517578,0.055838681757450104,-8.413280487060547,0.1356188803911209,-1.822138786315918
16.934999465942383,0.0561225600540638,-8.233336448669434,0.13078419864177704,-1.788002848625183
16.940000534057617,0.0556265264749527,-8.055262565612793,0.12701323628425598,-1.7548508644104004
16.94499969482422,0.05382018908858299,-7.882097244262695,0.12332002818584442,-1.7225605249404907
16.950000762939453,0.0509081706404686,-7.716030597686768,0.11807310581207275,-1.6912503242492676
16.954999923706055,0.048925258219242096,-7.554416179656982,0.11362054198980331,-1.659940242767334
16.959999084472656,0.04863385111093521,-7.395744800567627,0.11197102814912796,-1.6286301612854004
16.96500015258789,0.04670993611216545,-7.240554332733154,0.11018285900354385,-1.598189115524292
16.969999313354492,0.043159667402505875,-7.088413238525391,0.10871085524559021,-1.568720817565918
16.975000381469727,0.03978021815419197,-6.941561222076416,0.1065736785531044,-1.5401253700256348
16.979999542236328,0.03669286146759987,-6.802205562591553,0.10389696806669235,-1.5124986171722412
16.985000610351562,0.03626498579978943,-6.665390968322754,0.10272470861673355,-1.4857487678527832
16.989999771118164,0.03663290664553642,-6.531986713409424,0.10098964720964432,-1.4599639177322388
16.9950008392334,0.03609950840473175,-6.406580448150635,0.1013820469379425,-1.4350595474243164
17,0.03418640419840813,-6.286715507507324,0.10321208834648132,-1.4119988679885864
17.0049991607666,0.03182325139641762,-6.173020362854004,0.1046602800488472,-1.3898974657058716
17.010000228881836,0.03197066858410835,-6.068186283111572,0.10610135644674301,-1.3686822652816772
17.014999389648438,0.0321357399225235,-5.971837997436523,0.10764110833406448,-1.3493107557296753
17.020000457763672,0.031740717589855194,-5.8809990882873535,0.10764110833406448,-1.3308930397033691
17.024999618530273,0.03116201050579548,-5.793309211730957,0.10897555947303772,-1.3133670091629028
17.030000686645508,0.029028400778770447,-5.712756633758545,0.11195488274097443,-1.2967910766601562
17.03499984741211,0.027991844341158867,-5.640289783477783,0.11484112590551376,-1.2811105251312256
17.040000915527344,0.028307341039180756,-5.571625709533691,0.1182592436671257,-1.266376256942749
17.045000076293945,0.02852374128997326,-5.509891986846924,0.11896342784166336,-1.2525413036346436
17.049999237060547,0.027337992563843727,-5.456894874572754,0.11544471234083176,-1.2414512634277344
17.05500030517578,0.024671116843819618,-5.408959865570068,0.11373811215162277,-1.232242465019226
17.059999465942383,0.02190924994647503,-5.364358425140381,0.11405960470438004,-1.2230335474014282
17.065000534057617,0.017627110704779625,-5.328163146972656,0.11637361347675323,-1.2147313356399536
17.06999969482422,0.015377840027213097,-5.302738666534424,0.11973439157009125,-1.2082728147506714
17.075000762939453,0.013570266775786877,-5.287408828735352,0.11940838396549225,-1.203658103942871
17.079999923706055,0.01123079750686884,-5.280431747436523,0.11776159703731537,-1.199974536895752
17.084999084472656,0.00897249486297369,-5.283541202545166,0.11553805321455002,-1.1981196403503418
17.09000015258789,0.006966589484363794,-5.292685508728027,0.11802465468645096,-1.1981196403503418
17.094999313354492,0.005507636349648237,-5.307590007781982,0.12302631884813309,-1.1981196403503418
17.100000381469727,0.005241687875241041,-5.33470344543457,0.12776052951812744,-1.1990395784378052
17.104999542236328,0.0050298054702579975,-5.372360706329346,0.1310974806547165,-1.2027250528335571
17.110000610351562,0.007360241841524839,-5.415591239929199,0.1331738978624344,-1.2091741561889648
17.114999771118164,0.009636612609028816,-5.465075969696045,0.1359984427690506,-1.2165412902832031
17.1200008392334,0.011624450795352459,-5.5186848640441895,0.14050889015197754,-1.2248358726501465
17.125,0.013522224500775337,-5.578676700592041,0.14475764334201813,-1.2349741458892822
17.1299991607666,0.014628038741648197,-5.6437578201293945,0.15104106068611145,-1.2460246086120605
17.135000228881836,0.016950948163866997,-5.716657638549805,0.15443055331707,-1.258941411972046
17.139999389648438,0.019430169835686684,-5.796950340270996,0.15835194289684296,-1.2746106386184692
17.145000457763672,0.021750066429376602,-5.880535125732422,0.16187380254268646,-1.2911866903305054
